时间,内容
2018/9/1,迭代新鸡排正式立项
2018/9/13,出设计稿
2018/9/29,开工
2019/1/15,新增准备列表、表情一览；藏宝图迦迦纳革和深层绿图
2019/1/15,现有已更新数据至4.4，因鸡排进行了迭代，口味也发生了改变
2019/1/18,感谢拉诺西亚-星野奈亚子的G10宝图补全+新增数据，感谢AEVXOR的G10宝图补全数据，感谢拉诺西亚-苍凰羽的G9宝图新增数据
2019/1/22,修复笔记本浏览器适配BUG，增加探索笔记，但部分数据暂未补全预计本月内补全
2019/3/27,宠物坐骑表情数据更新至国服4.45/国际服更新至4.56
2019/5/2,部分数据同步更新至4.57/G9宝图补充数据
2019/5/6,新增染料一览，感谢来自拉诺的热心拉拉肥（芥末味）提供的数据和紫水的热心黑皮拉拉肥的图片处理
2019/5/27,新增青魔法书，数据同步更新至4.5汉化版
2019/7/10,不晓得哪天新增的副本开启，就当是今天吧
2019/7/11,上班摸鱼更新了5.0宠物/坐骑/表情/乐谱/副本开启数据
2019/10/10,数据更新至国服5.0
2020/2/5,数据更新至国服5.1
2020/7/19,数据更新至国服5.2
2020/9/23,新增本地记录乐谱功能
2021/4/5,数据更新至国服5.4
2021/4/13,新增本地记录宠物、坐骑功能
2021/8/12,数据更新至国服5.5
2022/3/10,数据更新至国服6.0，部分内容新增勾选/上传/导入选项
2022/8/9,数据更新至国服6.1
2022/12/20,数据更新至国服6.2
2023/02/27,数据更新至国服6.25
2023/05/09,数据更新至国服6.3
2023/09/15,数据更新至国服6.4
2024/3/4,数据更新至国服6.5
2024/9/27,数据更新至国服7.0，新增更新速览功能
2025/2/18,数据更新至国服7.1，新增异闻录线、潜艇路线、宝图路线规划
2025/6/24,数据更新至国服7.2
2025/9/16,数据更新至国服7.3
