版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
7.4,摇摆声援小绿,,特别,2026年女儿节奖励,/cheerlightgreen,246470,<me>热烈声援<t>。,<me>开始声援。,1
7.4,节拍声援小白,,特别,2026年女儿节奖励,/cheerrhythmbright,246469,<me>热烈声援<t>。,<me>开始声援。,1
7.4,摇摆声援小蓝,,特别,2026年女儿节奖励,/cheerlightblue,246468,<me>热烈声援<t>。,<me>开始声援。,1
7.4,节拍声援小紫,,特别,2026年女儿节奖励,/cheerrhythmviolet,246467,<me>热烈声援<t>。,<me>开始声援。,1
7.4,激活神机王冠,,通常,官网道具商城购买(限时2026.6.1),/divinetiara,246466,<me>在<t>面前让神机王冠发出了光芒。,<me>让神机王冠发出了光芒。,1
7.4,激活神机项环,,通常,官网道具商城购买(限时2026.6.1),/divinedisk,246465,<me>在<t>面前让神机项环发出了光芒。,<me>让神机项环发出了光芒。,1
7.4,激活神机手铠,,通常,官网道具商城购买(限时2026.6.1),/divinearm,246464,<me>在<t>面前让神机手铠发出了光芒。,<me>让神机手铠发出了光芒。,1
7.4,双手抱书,,特别,PVP第十季通行证5级奖励（截止至7.5前）,/carrybook,246463,<me>在<t>面前抱起了书本。,<me>抱起了书本。,1
7.4,模特步,,通常,未知,/runwaywalk,246459,<me>在<t>面前走起了模特步。,<me>走起了模特步。,3
7.4,摇摆声援小黄,,特别,2026年女儿节奖励,/cheerlightyellow,246457,<me>热烈声援<t>。,<me>开始声援。,1
7.4,节拍声援小红,,特别,2026年女儿节奖励,/cheerrhythmred,246456,<me>热烈声援<t>。,<me>开始声援。,1
7.3,用羽毛笔记录,羽根ペンで記述する,特别,PVP第九季通行证5级奖励（截止至7.4前）,/pen,246452,<me>在<t>面前用羽毛笔记述了内容。,<me>用羽毛笔记述了内容。,0
7.4,端坐享用绿茶,,特别,,/savortea,246451,<me>在<t>面前以端坐的姿势持续享用绿茶。,<me>以端坐的姿势持续享用绿茶。,1,NEW
7.35,饮用绿茶,,通常,朝圣交错路-光耀魔器碎片x50兑换,/drinkgreentea,246450,<me>在<t>面前饮用绿茶。,<me>饮用了绿茶。,0
7.3,跃跃欲试,張り切る,通常,宇宙爆炸好运票【法恩娜】稀有奖励,/limberup,246449,<me>在<t>面前跃跃欲试。,<me>跃跃欲试。,0
7.4,持续用海都风格马克杯喝,海都風マグカップで飲み続ける,特别,2025年星芒节奖励,/lominsangulp,246448,<me>在<t>面前用海都风格马克杯持续饮用了潘趣软饮。,<me>用海都风格马克杯持续饮用了潘趣软饮。,1,UPDATED
7.4,持续用沙都风格马克杯喝,砂都風マグカップで飲み続ける,特别,2025年星芒节奖励,/uldahngulp,246447,<me>在<t>面前用沙都风格马克杯持续饮用了潘趣软饮。,<me>用沙都风格马克杯持续饮用了潘趣软饮。,1,UPDATED
7.4,持续用森都风格马克杯喝,森都風マグカップで飲み続ける,特别,2025年星芒节奖励,/gridaniangulp,246446,<me>在<t>面前用森都风格马克杯持续饮用了潘趣软饮。,<me>用森都风格马克杯持续饮用了潘趣软饮。,1,UPDATED
7.4,用海都风格马克杯喝,海都風マグカップで飲む,通常,2025年星芒节奖励,/lominsansip,246445,<me>在<t>面前用海都风格马克杯饮用了潘趣软饮。,<me>用海都风格马克杯饮用了潘趣软饮。,1
7.4,用沙都风格马克杯喝,砂都風マグカップで飲む,通常,2025年星芒节奖励,/uldahnsip,246444,<me>在<t>面前用沙都风格马克杯饮用了潘趣软饮。,<me>用沙都风格马克杯饮用了潘趣软饮。,1
