图标,名称,介绍,获得方法,位置,NPC,地图MAP
049002.tex,碧海陆行鸟半装甲,黑涡团制式的陆行鸟用简略装甲。,军票交换（黑涡团）,利姆萨·罗敏萨上层甲板（X:13.1 Y:12.7),部队补给负责人,id=11&x=13.1&y=12.7
049005.tex,碧海陆行鸟装甲,黑涡团制式的陆行鸟用标准装甲。,军票交换（黑涡团）,利姆萨·罗敏萨上层甲板（X:13.1 Y:12.7),部队补给负责人,id=11&x=13.1&y=12.7
049008.tex,碧海陆行鸟武装甲,黑涡团制式的陆行鸟用武装装甲。,军票交换（黑涡团）,利姆萨·罗敏萨上层甲板（X:13.1 Y:12.7),部队补给负责人,id=11&x=13.1&y=12.7
049011.tex,碧海陆行鸟武装甲,双蛇党制式的陆行鸟用简略装甲。,军票交换（双蛇党）,格里达尼亚新街（X:9.8 Y:11.0),部队补给负责人,id=2&x=9.8&y=11.0
049014.tex,密林陆行鸟装甲,双蛇党制式的陆行鸟用标准装甲。,军票交换（双蛇党）,格里达尼亚新街（X:9.8 Y:11.0),部队补给负责人,id=2&x=9.8&y=11.0
049017.tex,密林陆行鸟武装甲,双蛇党制式的陆行鸟用武装装甲。,军票交换（双蛇党）,格里达尼亚新街（X:9.8 Y:11.0),部队补给负责人,id=2&x=9.8&y=11.0
049020.tex,黄沙陆行鸟半装甲,恒辉队制式的陆行鸟用简略装甲。,军票交换（恒辉队）,乌尔达哈现世回廊（X:8.3 Y:9.0),部队补给负责人,id=13&x=8.3&y=9.0
049023.tex,黄沙陆行鸟装甲,恒辉队制式的陆行鸟用标准装甲。,军票交换（恒辉队）,乌尔达哈现世回廊（X:8.3 Y:9.0),部队补给负责人,id=13&x=8.3&y=9.0
049026.tex,黄沙陆行鸟武装甲,恒辉队制式的陆行鸟用武装装甲。,军票交换（恒辉队）,乌尔达哈现世回廊（X:8.3 Y:9.0),部队补给负责人,id=13&x=8.3&y=9.0
049047.tex,陆行鸟黑魔装甲,以传说中的黑魔法师的形象设计出的陆行鸟用装甲。,成就币x3兑换,格里达尼亚旧街（X:10.6 Y:6.3)),乔纳森,id=3&x=10.6&y=6.3
049038.tex,斯莱普尼尔装甲,以奥丁的爱马斯莱普尼尔的形象设计出的陆行鸟用装甲。,奥丁披风x5兑换,摩杜纳（X:22.6 Y:6.6),艾里娜,id=25&x=22.6&y=6.6
049041.tex,贝希摩斯装甲,以魔兽贝希摩斯的形象设计出的陆行鸟用装甲。,道具商城贩卖,,,
049061.tex,陆行鸟王装甲,以传说中的陆行鸟王的形象设计出的陆行鸟用装甲。,成就「令人铭记4」<br />累计获得300次最优队员推荐。,,,
049065.tex,星芒装甲,星芒节用的陆行鸟装甲，用来运送来自繁星的礼物。,道具商城贩卖,,,
049073.tex,猎蛋装甲,用于彩蛋狩猎活动的陆行鸟装甲。,道具商城贩卖,,,
049071.tex,光之鸟甲,以传说中的光之战士的形象设计出的陆行鸟用装甲。,成就币x3兑换,格里达尼亚旧街（X:10.6 Y:6.3)),乔纳森,id=3&x=10.6&y=6.3
049068.tex,利维亚桑装甲,以水神利维亚桑的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv50,,,
049077.tex,拉姆装甲,以雷神拉姆的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv50,,,
049079.tex,羽饰装甲,装饰着羽毛的陆行鸟用装甲，是爱鸟之人的证明。,成就「陆行鸟训练师」<br />对其他玩家的陆行鸟进行30次训练。,,,
049083.tex,怪诞装甲,守护天节用的陆行鸟装甲，鸟儿也可以乔装打扮。,道具商城贩卖,,,
049086.tex,希瓦装甲,以冰神希瓦的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv50,,,
049089.tex,情人装甲,用于庆祝恋人节的陆行鸟装甲。,道具商城贩卖,,,
049092.tex,胜负师装甲,以传说中胜负师的服装为概念设计出的陆行鸟用装甲。,金蝶币x20000兑换,金碟游乐场（X:5.1 Y:6.6),纪念品兑换员,id=196&x=5.1&y=6.6
049095.tex,崇山陆行鸟半装甲,伊修加德制式的陆行鸟用简略装甲。,翻云雾海危命「苍天白龙——维德佛尔尼尔」,,,
049098.tex,崇山陆行鸟装甲,伊修加德制式的陆行鸟用标准装甲。,兵团徽章x350兑换,伊修加德基础层（X:13.0 Y:11.8),阿尔多兰,id=218&x=13.0&y=11.8
049110.tex,贵族装甲,伊修加德贵族风格的豪华陆行鸟装甲。,暂无获得方式,,,
049116.tex,高地装甲,防寒陆行鸟装甲，适合在寒冷地区装备。,生产：铸甲匠Lv40,,,
049104.tex,俾斯麦装甲,以云神俾斯麦的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv60，铸甲秘籍第三卷,,,
049107.tex,罗波那装甲,以武神罗波那的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv60，铸甲秘籍第三卷,,,
049113.tex,正教装甲,伊修加德正教教徒风格的陆行鸟装甲，十分优美高贵。,生产：裁衣匠Lv56,,,
049119.tex,野玫瑰装甲,以传说中的英雄的形象设计出的陆行鸟用装甲。,成就币x3兑换,格里达尼亚旧街（X:10.6 Y:6.3),乔纳森,id=3&x=10.6&y=6.3
049122.tex,圆桌装甲,以骑神托尔丹的形象设计出的陆行鸟用装甲。,苍穹铸甲碎片x15兑换,田园郡（X:5.8 Y:5.2),贝尔塔纳,id=257&x=5.8&y=5.2
049126.tex,萨菲洛特装甲,以魔神萨菲洛特的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv60，铸甲秘籍第四卷,,,
049129.tex,猎蛋人装甲,用于彩蛋狩猎活动的陆行鸟装甲。,道具商城贩卖,,,
049132.tex,东方装甲,东方风格的节日用陆行鸟装甲。,道具商城贩卖,,,
049133.tex,竞赛装甲,用于陆行鸟竞赛的陆行鸟装甲。,成就「陆行鸟挑战征服者1」<br />完成陆行鸟竞赛竞速挑战的前15关。,,,
049138.tex,邪龙装甲,以邪龙尼德霍格的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv60，铸甲秘籍第四卷,,,
049141.tex,管家装甲,管家风范的陆行鸟用装甲。,道具商城贩卖,,,
049144.tex,索菲娅装甲,以女神索菲娅的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv60，铸甲秘籍第四卷,,,
049147.tex,女仆装甲,以女仆的服装设计出的陆行鸟用装甲。,道具商城贩卖,,,
049153.tex,天使装甲,以天使的形象设计出的陆行鸟用装甲。,道具商城贩卖,,,
049156.tex,恶魔装甲,以恶魔的形象设计出的陆行鸟用装甲。,道具商城贩卖,,,
049150.tex,曼德维尔女仆装甲,以曼德维尔家专属女仆的服装设计出的陆行鸟用装甲。,金蝶币x150000兑换,金碟游乐场（X:5.1 Y:6.6),纪念品兑换员,id=196&x=5.1&y=6.6
049159.tex,祖尔宛装甲,以鬼神祖尔宛的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv60，铸甲秘籍第四卷,,,
049162.tex,须佐之男装甲,以豪神须佐之男的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv70，铸甲秘籍第四卷,,,
049165.tex,峻岭装甲,阿拉米格传统样式的陆行鸟用装甲。,基拉巴尼亚山区危命「强大的袭击者——洪巴巴」,,,
049168.tex,吉祥天女装甲,以美神吉祥天女的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv70，铸甲秘籍第四卷,,,
049171.tex,远东装甲,采用远东之国的传统服饰元素设计出的陆行鸟用装甲。,著名兵团成员的手册x4兑换,神拳痕（X:13.8 Y:11.8),艾西娜,id=366&x=13.8&y=11.8
049174.tex,东洋装甲,采用远东之国的传统服饰元素设计出的陆行鸟用装甲。,未知,,,
049177.tex,哪吒装甲,以传说中的英雄形象设计出的陆行鸟用装甲。,道具商城贩卖,,,
049180.tex,神龙装甲,以神龙的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv70，铸甲秘籍第五卷,,,
049183.tex,伊克西翁装甲,以雷马伊克西翁的形象设计出的陆行鸟用装甲。,伊克西翁的雷角x5兑换,神拳痕（X:13.8 Y:11.8),艾西娜,id=366&x=13.8&y=11.8
049186.tex,赤红装甲,以赤魔法师的形象设计出的陆行鸟用装甲。,「常风地带上锁的宝箱」鉴定,,,
049189.tex,白虎装甲,以白虎的形象设计出的陆行鸟用装甲。,生产：铸甲匠Lv70，铸甲秘籍第六卷,,,
049192.tex,防雨装甲,适用于雨天的陆行鸟用装甲。,采集黄票x800兑换,游末邦（X:11.5 Y:10.7),工票交易员,id=555&x=11.5&y=10.7
