编码,顺序,副本名称,任务,位置,NPC,地图map,装等限制,等级,所属,类型
112001.tex,1,天然要害 沙斯塔夏溶洞,主线,,,,无,15,2,1
112002.tex,2,地下灵殿 塔姆·塔拉墓园,主线,,,,无,16,2,1
112003.tex,3,封锁坑道 铜铃铜山,主线,,,,无,17,2,1
112004.tex,4,魔兽领域 日影地修炼所,日影地修炼所的邀请,西萨纳兰（X12.0，Y14.3）,奈德里克·艾恩哈特,id=20&x=12.0&y=14.3,无,20,2,1
112005.tex,5,监狱废墟 托托·拉克千狱,主线,,,,无,24,2,1
112006.tex,6,名门府邸 静语庄园,主线,,,,无,28,2,1
112007.tex,7,休养胜地 布雷福洛克斯野营地,主线,,,,无,32,2,1
112009.tex,8,古代遗迹 喀恩埋没圣堂,埋在圣堂中的疑惑,西萨纳兰（X12.0，Y14.3）,奈德里克·艾恩哈特,id=20&x=12.0&y=14.3,无,35,2,1
112011.tex,9,流沙迷宫 樵鸣洞,献给亲爱的战友,乌尔达哈来生回廊（X14.0，Y10.1）,西博尔德,id=14&x=14.0&y=10.1,无,38,2,1
112012.tex,10,对龙城塞 石卫塔,主线,,,,无,41,2,1
112013.tex,11,山中战线 泽梅尔要塞,调查泽梅尔要塞,库尔札斯中央高地（X24.7，Y28.8）,卡里洛,id=53&x=24.7&y=28.8,无,44,2,1
112014.tex,12,毒雾洞窟 黄金谷,黄金之谷,西萨纳兰（X12.0，Y14.3）,奈德里克·艾恩哈特,id=20&x=12.0&y=14.3,无,47,2,1
112010.tex,13,神灵圣域 放浪神古神殿,古神殿的阴影,西萨纳兰（X11.5，Y13.9）,阿琳,id=20&x=11.5&y=13.9,45,50,2,1
112016.tex,14,帝国南方 堡外围激战,主线,,,,42,50,2,1
112017.tex,15,天幕魔导城 最终决战,主线,,,,42,50,2,1
112015.tex,16,邪教驻地 无限城古堡,古堡恶灵,西萨纳兰（X12.0，Y14.3）,奈德里克·艾恩哈特,id=20&x=12.0&y=14.3,45,50,2,1
112027.tex,17,领航明灯 天狼星灯塔,魅惑航路的歌声,西拉诺西亚（X26.5，Y26.7）,蒂亚曼德,id=18&x=26.5&y=26.7,48,50,2,1
112025.tex,18,骚乱坑道 铜铃铜山,逝于铜铃铜山,摩杜纳（X22.0，Y8.7）,修古伯特,id=25&x=22.0&y=8.7,48,50,2,1
112026.tex,19,恶灵府邸 静语庄园,食人庄园,摩杜纳（X22.1，Y8.6）,洛莉安娜,id=25&x=22.1&y=8.6,48,50,2,1
112042.tex,20,腐坏遗迹 无限城市街古迹,腐朽魔都,格里达尼亚旧街（X6.0，Y10.6）,艾·斯密·雅恩,id=3&x=6.0&y=10.6,55,50,2,1
112049.tex,21,剑斗领域 日影地修炼所,挑战日影地修炼所,摩杜纳（X22.1，Y8.7）,修古伯特,id=25&x=22.1&y=8.7,55,50,2,1
112048.tex,22,纷争要地 布雷福洛克斯野营地,再次陷入困境的盟友,摩杜纳（X22.1，Y8.7）,布鲁兹恩古,id=25&x=22.1&y=8.7,55,50,2,1
112058.tex,23,财宝传说 破舰岛,雾过天晴破舰岛,摩杜纳（X22.1，Y8.7）,布鲁兹恩古,id=25&x=22.1&y=8.7,70,50,2,1
112059.tex,24,惨剧灵殿 塔姆·塔拉墓园,灵殿昏暗的深处,乌尔达哈现世回廊（X12.2，Y8.1）,帕伊尤·雷伊尤,id=13&x=12.2&y=8.1,70,50,2,1
112060.tex,25,激战城塞 石卫塔,夙愿得偿,摩杜纳（X21.9，Y8.4）,法伊希,id=25&x=21.9&y=8.4,70,50,2,1
112066.tex,26,凛冽洞天 披雪大冰壁,主线,,,,80,50,2,1
112067.tex,27,逆转要害 沙斯塔夏溶洞,祸起沙斯塔夏,摩杜纳（X22.1，Y8.7）,布鲁兹恩古,id=25&x=22.1&y=8.7,80,50,2,1
112068.tex,28,苏醒遗迹 喀恩埋没圣堂,圣堂中的陷阱,摩杜纳（X22.1，Y8.7）,修古伯特,id=25&x=22.1&y=8.7,80,50,2,1
112076.tex,29,幻龙残骸 密约之塔,主线,,,,90,50,2,1
112078.tex,30,武装圣域 放浪神古神殿,古堡凶影,摩杜纳（X22.1，Y8.6）,洛莉安娜,id=25&x=22.1&y=8.6,90,50,2,1
112077.tex,31,邪念妖地 无限城古堡,血染古神殿,摩杜纳（X22.1，Y8.7）,布鲁兹恩古,id=25&x=22.1&y=8.7,90,50,2,1
112008.tex,1,伊弗利特 讨伐战,主线,,,,无,20,2,2
112018.tex,2,泰坦讨伐战,主线,,,,无,34,2,2
