版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
7.3,用森都风格马克杯喝,森都風マグカップで飲む,通常,未知,/gridaniansip,064468.tex,xxはxxに森都風マグカップでキンダープンシュを飲んでみせた。,xxは森都風マグカップでキンダープンシュを飲んだ。,3
7.3,用沙都风格马克杯喝,砂都風マグカップで飲む,通常,未知,/uldahnsip,064469.tex,xxはxxに砂都風マグカップでキンダープンシュを飲んでみせた。,xxは砂都風マグカップでキンダープンシュを飲んだ。,3
7.3,用海都风格马克杯喝,海都風マグカップで飲む,通常,未知,/lominsansip,064470.tex,xxはxxに海都風マグカップでキンダープンシュを飲んでみせた。,xxは海都風マグカップでキンダープンシュを飲んだ。,3
7.3,持续用森都风格马克杯喝,森都風マグカップで飲み続ける,通常,未知,/gridaniangulp,064471.tex,xxはxxに森都風マグカップでキンダープンシュを飲み続けてみせた。,xxは森都風マグカップでキンダープンシュを飲み続けた。,3
7.3,持续用沙都风格马克杯喝,砂都風マグカップで飲み続ける,通常,未知,/uldahngulp,064472.tex,xxはxxに砂都風マグカップでキンダープンシュを飲み続けてみせた。,xxは砂都風マグカップでキンダープンシュを飲み続けた。,3
7.3,持续用海都风格马克杯喝,海都風マグカップで飲み続ける,通常,未知,/lominsangulp,064473.tex,xxはxxに海都風マグカップでキンダープンシュを飲み続けてみせた。,xxは海都風マグカップでキンダープンシュを飲み続けた。,3
7.3,跃跃欲试,張り切る,通常,宇宙爆炸好运票【法恩娜】稀有奖励,/limberup,064474.tex,xxはxxに張り切ってみせた。,xxは張り切った。,1
7.3,用羽毛笔记录,羽根ペンで記述する,特别,PVP第九季通行证5级奖励（截止至7.4前）,/pen,064477.tex,xxはxxに羽根ペンで記述してみせた。,xxは羽根ペンで記述した。,1
7.25,转圈,くるっと回る,通常,新月岛探索宝箱掉落,/twirl,064463.tex,xx在xx面前转了个圈。,xx转了个圈。,0
7.2,大惊小怪,大げさに驚く,通常,2025年秋金碟季节活动报酬,/overreact,064462.tex,xx开始大惊小怪起来。,xx在xx面前显得有些大惊小怪。,0
7.2,晕头转向,ふらつく,特别,PVP第八季通行证5级奖励（截止至7.3前）,/dazed,064464.tex,xx有些晕头转向。,xx在xx面前不禁有些晕头转向。,0
7.2,气得发抖,怒りに震える,特别,宇宙探索-宇宙信用点x9600 兑换,/rage,064465.tex,xx气愤到浑身颤抖。,xx在xx面前气愤到浑身颤抖。,0
7.2,玩神典石,トームストーンを愛で続ける,特别,自动获得,/tomescroll,064466.tex,xx玩起了神典石。,xx在xx面前玩起了神典石。,0
7.2,认真看书,本を熟読する,特别,自动获得,/study,064467.tex,xx认真地看起了书。,xx在xx面前认真地看起了书。,0
7.2,用触控板记录,タブレットで記録する,通常,宇宙探索-宇宙好运爆 奖品,/visage,064460.tex,xx使用触控板记录了自己的模样。,xx在xx面前使用触控板记录了自己的模样。,0
7.x,吹泡泡,シャボン玉,通常,官网道具商城购买,/blowbubbles,064458.tex,xx对着xx吹起了泡泡。,xx吹起了泡泡。,0
7.18,拍照,撮影する,通常,联动，自动获得,/photograph,064461.tex,xxはxxを撮影した。,xxは撮影した。,0
7.16,象征自由的姿势,自由のポーズ,通常,完成7.0系列的全部职能任务,/poseoftheunbound,064456.tex,xx在xx面前摆出了象征自由的姿势。,xx象征自由的姿势。,0
7.x,赠与花束,花束を贈る,特别,2026年恋人节奖励,/bouquet,064457.tex,xx对xx送出了花束。,xx送出了花束。,0
7.1,噢霍卡利！,オフォカリー,通常,完成7.1的友好部族：佩鲁佩鲁族「新事业！图拉尔旅行公司」任务后获得,/ohokaliy,064459.tex,xx向xx高呼噢嚯卡利。,xx高呼噢嚯卡利。,0
